embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
0,78,0,0,70,0,0,36,0,0,49,0,0,44,0
7582746265,80,30430335704,272022453,73,272022453,163725699,42,163725699,244966402,50,244966402,44000000,46,265362482
6690681473,74,23352644918,13276849,32,13276849,24797817,21,24797817,7242244,19,7242244,46000000,46,234675281
5731075885,129,18061487005,123470820,95,123470820,66430352,47,66430352,84617441,65,84617441,46000000,80,188675281
8211207422,179,38764439780,279260928,134,282002068,163262413,79,163262413,207960005,106,207960005,80000000,112,357005892
11126152919,177,53030944168,297490501,118,297564311,267061183,75,267061183,241953602,95,241953602,105516162,115,468118846
10868193728,171,46947570073,162862901,81,162862901,110199313,58,110199313,151424398,69,151424398,102187326,112,398823247
10065564871,167,41542253493,162093973,79,162093973,172032498,56,172032498,135885617,61,135885617,97950972,109,330155636
9526745831,167,39039084774,171040607,92,171040607,93023487,61,93023487,144646356,73,144646356,86287356,111,261792477
9165193857,180,39130485486,218131100,127,219070130,224326999,84,224326999,161151440,90,161151440,86160608,107,278717248
10020347066,180,42505474069,287994060,111,287994060,195139341,79,195139341,215060446,82,215060446,87713986,107,272880995
9501691801,176,38110498552,265138050,124,271963544,210504156,85,210504156,178847145,91,178847145,80131971,112,270504308
10018792511,161,35983760191,289828547,99,289828547,173624239,59,173624239,234345268,69,234345268,81893883,100,324555189
8922379230,160,30203827411,125288812,79,125288812,106857703,51,106857703,117082480,58,117082480,75877948,92,298575651
7709769964,181,33691419504,253537993,135,257324377,124075495,82,124075495,180105553,103,180105553,80590159,115,300801902
9157647455,187,48494028592,340690281,144,354364855,260049360,91,260049360,308926930,115,308926930,103029238,118,408139043
10083877187,169,51598455133,185077803,100,185077803,137507890,56,137507890,124760302,66,124760302,100159204,113,369894058
9879951828,155,45179963705,160664378,70,160664378,120215397,48,120215397,127652112,58,127652112,90626321,103,287870843
9484786443,157,40267791353,113653408,79,113653408,109208522,53,109208522,137463943,70,137463943,82616141,104,249879426
9546016555,161,39831676564,163417496,87,163417496,148725758,63,148725758,154805535,75,154805535,73773436,101,230642913
8915090953,174,40101673998,201179594,118,201179594,157243297,82,157243297,227878815,98,227878815,74901941,108,270900401
10550989801,159,40855481204,309561815,93,309561815,223168209,72,223168209,265114382,76,265114382,84612875,101,334399809
10106782892,145,33147225615,72622748,60,72622748,86201841,47,86201841,92892995,50,92892995,84216994,102,310153179
8281216626,157,27185243433,190527743,91,190527743,90362535,53,90362535,135902686,80,135902686,81469240,104,293962910
8587564550,166,34034340222,200759716,110,200759716,148848055,65,148848055,214408819,81,214408819,91037271,111,331853543
9023512437,174,40760788853,244302051,111,244302051,203337945,78,203337945,165473987,83,165473987,89378248,108,329344729
9769548305,160,44607623302,192493252,87,192493252,164502637,71,164502637,250078059,81,250078059,83235150,101,294650038
8517111753,183,42558349829,218096622,140,235665960,215138641,90,215138641,193613277,109,193613277,79285623,109,274693289
10165298996,183,48992800395,424549853,136,444839692,194014956,75,194014956,349358380,105,349358380,91080404,109,359305900
10558810882,176,46074482743,164124503,101,164124503,169650067,61,169650067,187383313,80,187383313,89449776,105,343971534
10282624767,167,38194019292,219426548,89,219426548,131567546,50,131567546,183907215,65,183907215,86557257,98,308905856
9399146623,169,32625117906,143539296,116,143559552,116508254,79,116508254,108093255,89,108093255,79985217,105,268506401
8819817916,172,33474313467,297427115,131,300456883,273864301,81,273864301,276963441,93,276963441,84150370,110,284054913
8831407161,172,35979847821,296685862,118,297806273,157174211,75,157174211,166246859,88,166246859,84909488,111,327675579
9473853341,145,35875895300,184837307,80,184837307,167630262,55,167630262,228577737,63,228577737,87802439,101,338929562
7535942470,162,31446206951,171642318,95,171642318,108776858,68,108776858,81368494,80,81368494,77537378,105,267720426
9843878064,149,41929844792,228758825,75,228758825,211393674,56,211393674,254232576,70,254232576,85264438,93,300007320
8060996722,185,38952968775,159228960,145,174914319,119320072,89,119320072,148268111,113,148268111,71827875,117,227130833
10434645109,183,49897453795,413832265,138,430731432,306064537,89,306064537,373811696,109,373811696,98967778,118,371682022
9740332323,183,43125248566,216354509,136,230211771,191643899,90,191643899,209213212,106,209213212,94907765,115,354731491
