embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
0,12,0,0,7,0,0,3,0,0,4,0,0,8,0
3001018985,31,3147508270,31983757,18,31983757,13149322,6,13149322,10741695,19,10741695,47475187,24,47475187
1457715899,174,4331938500,40782857,105,40782857,17579056,83,17579056,78709432,98,78709432,106404342,112,106404342
14768491969,184,41031485697,174730605,112,375104706,180059515,87,315201674,194761142,96,372666420,189059328,106,555070683
13049227127,185,30830265188,111976008,101,200374101,135109637,84,192249282,96306141,97,250150938,228926761,118,440320115
12328591908,184,26952557451,68392994,100,88398093,100618829,78,154319634,89015268,104,216147472,176835042,124,285385946
11988090881,164,23214639757,20005099,60,20005099,107924016,66,168697354,91622504,99,225968105,112555258,100,185384458
9060463231,156,18152940758,0,40,0,108311753,60,148070815,80030510,87,187664677,111103255,88,219296455
9801570667,153,21428502623,0,49,0,75935678,73,111558262,72189284,87,195626953,131828942,103,300579469
9951893870,178,23045525318,0,78,0,99814985,87,198095870,77566734,96,232738807,144189528,111,332939638
12102284220,168,26075139147,0,73,0,146403221,83,273565341,86633771,99,268086679,151772668,116,347337191
11291643560,143,21468574209,0,42,0,119347663,67,154076393,90141478,91,263793723,163737387,106,329211603
8218488096,179,19299112875,0,103,0,69168578,85,110629257,73010777,107,232756050,123427396,113,252916622
12391915177,161,27483239301,0,44,0,127116722,73,207385800,90844857,107,327567893,154996553,105,353453715
8900176637,196,23232229190,0,111,0,82326351,100,161577325,82498284,116,276222442,124498851,126,292264274
12485844140,186,32222649396,0,83,0,138837839,94,296308597,81337463,100,210684261,156754015,117,394827483
10428652492,198,26551231647,0,115,0,107112645,96,203435324,73999031,112,226993034,149345247,125,365845632
12558780789,161,26754337280,0,42,0,134003998,76,212163240,97988598,96,272961296,163315236,110,350140635
10399775650,133,16692272962,11619745,30,11619745,94073359,61,115145450,88895685,88,206165547,139623119,90,221010600
7034211927,187,16864696518,53777682,95,125301018,51596908,88,97877916,69464279,102,175521545,87805260,112,184728678
11228258293,202,33876513215,35069444,113,71523336,141407187,98,318692812,87222951,109,291597278,127842352,122,424358691
14093041370,175,34814051787,36453892,47,36453892,161476488,86,285219485,100634816,100,330891336,193998450,111,479542394
10737722460,183,22320952235,0,75,0,107760287,87,157133593,90235966,106,248972525,163047365,123,322864266
10684130647,207,25200923824,0,123,0,85563368,100,163757938,81712687,117,239668256,127873823,130,281334729
11341201337,196,27578257284,0,101,0,125636420,95,285276402,72361063,103,198827187,121312027,124,305408068
10843008317,183,26217811107,0,91,0,122086805,94,230284019,78433809,105,246570452,138448018,116,343801792
11378971587,164,23702909577,0,71,0,119510133,87,206766653,87619487,105,296690812,155506756,109,337017423
9208770211,173,18888589796,0,88,0,94456654,87,164450162,82673344,106,278100512,136725392,116,301914838
10183875430,159,20239366215,0,66,0,124147922,77,191293233,86682507,100,275189006,146301351,106,302264168
7712931871,207,20032400530,0,128,0,85830964,102,153603100,73828730,116,247329146,112505718,133,283885302
11595163752,205,33983639744,0,114,0,143648761,97,289636700,56489905,113,173500416,158603092,130,451814240
12623630135,167,29266747796,0,71,0,128189091,79,206386171,64664409,86,144069165,172717630,119,390246870
11547387950,155,22553866492,0,54,0,95326331,61,121493898,78151565,81,201607625,150977747,110,278491485
8439245909,165,16515511152,0,76,0,68744123,65,102674868,64201168,90,193772132,125869661,113,272302206
9670135964,178,23136764241,0,98,0,98570602,85,189480585,82546563,105,283203993,126290146,114,325149985
10839204590,166,25035045605,0,60,0,144499256,80,264966180,99199571,104,336420311,162171334,103,356095813
10678705062,139,19859861947,11149666,33,11149666,120475727,63,140480138,97271979,98,264425426,167984630,96,273627652
8948028880,139,14640743365,84711482,57,111571190,49586604,44,53801246,95081004,90,207583609,113804139,87,170767817
7981837664,191,20387658667,21981556,108,26859708,61880463,92,123214380,72329278,114,182736147,75246707,117,206593324
12880640632,162,31895615933,4878152,33,4878152,162830865,83,332139707,90307541,95,241395761,174361018,103,469603019
10035478298,165,21419569592,52954584,79,102568385,122590422,86,183589006,73441865,101,190221948,171458262,115,326148805
12622996546,147,24122560715,49613801,40,49613801,118330476,70,164587272,93279190,83,218426574,163292771,106,284718070
7412540148,211,18379087184,0,131,0,61917420,102,145640651,50359329,116,162740961,91205595,132,267686976
11671582066,208,34800275004,0,128,0,146816060,104,366383270,33716912,112,112313276,144926646,133,524189244
11045718590,207,32945314180,0,127,0,144090091,103,294615827,25099206,116,78596364,177463781,131,520436418
11346213632,201,29492250724,0,110,0,115411945,100,206087081,23675122,94,53497158,166685974,130,393455306
11435049806,190,28368759786,0,96,0,96615852,90,181855055,14861448,93,29822036,139838210,124,298387114
10221525757,202,25343658823,0,117,0,82330690,96,194499995,8681225,100,14960588,112214555,127,265387196
11013811417,190,29240521845,0,83,0,112144741,96,262593587,28634175,85,109207018,118288563,116,371612566
9628563140,211,27742494607,0,127,0,113597298,104,252286405,66196995,115,306322932,124510187,132,399691849
11467620932,205,34114104015,0,122,0,119627793,99,224309325,57066756,113,240125937,165524598,131,481390558
11165780620,204,30766107531,0,124,0,102280329,99,203398893,46272279,114,183059181,159405646,130,355212372
11923109912,199,29400589899,0,98,0,108403270,96,217162188,40388168,101,136786902,147030818,117,269592392
10705723443,195,26623575894,0,93,0,110590602,94,214191585,34724245,103,96398734,107621422,113,228753474
10327780598,195,28221586203,0,108,0,98937490,95,195762371,25804034,101,61674489,106751206,115,297740107
