embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3082605837,35,8200525746,113440062,17,113440062,58404126,11,58404126,58697356,11,58697356,11000000,11,61193953
11972497080,162,40642678858,562461818,86,562461818,326094560,73,326094560,359547243,77,359547243,112000000,112,660025940
14660967018,173,37597205993,170530483,33,208891450,103013509,31,159927028,99064638,31,124501844,123000000,123,617788703
13795000223,156,32927684185,92962501,37,103314899,141986776,79,292487264,162871660,58,233346692,137000000,137,587982541
13412064342,154,27218963140,147893065,35,176210697,118341510,73,221251701,140631011,58,188702227,136599565,138,456483090
13649510697,175,29208421990,82883188,32,91929661,116169272,75,235007291,156144778,78,248371703,125209375,137,340603791
11508980185,142,23863542544,92788575,20,100689109,111975624,70,199393781,114910010,63,155228035,96120540,110,225285040
10594086139,127,23453876870,192926050,37,225302149,106641533,60,177205544,124479073,46,157944737,84437788,101,232837728
14482748060,176,35892876273,58506037,33,64927357,113226842,74,252340781,158337034,72,265814512,89926062,104,385816018
13090475223,161,28773515002,109965147,22,129923079,121982609,65,209339920,128685054,55,145086448,97134178,101,453014176
11969981028,141,24705007623,153962927,37,172773487,114181416,68,226692819,98904385,42,120083149,107880743,110,456882284
13074248701,156,28750038424,118069867,37,144395367,108784755,65,196022856,167848409,61,265982443,124103537,126,474831542
14163438106,175,33269533672,92531946,30,109248892,128935758,75,245206475,164923450,86,293940174,123355730,132,417637442
12446214922,149,28914044462,157762772,35,178995638,110854198,65,175434433,131686576,74,202062542,107070968,117,317477689
13016877975,150,29719543144,65978600,20,66226665,95424289,55,191473897,126469261,58,180435964,93616011,106,277851373
10787069505,131,22392515399,153178895,27,163530946,113823038,51,166052127,131522766,45,157791106,85997813,95,248305531
11693356937,140,24422770579,115254994,26,127437313,110732413,66,211470318,133632629,60,180188299,84669155,100,338795529
10063245641,124,21339989711,118540997,29,121705787,115551062,67,196603994,119908307,49,148322821,97807387,102,404897364
12920382693,153,30487050058,157487282,35,185701952,107043442,69,216530178,140176517,62,226699227,105244084,117,456674643
14384947610,170,34397510989,76135093,30,85973024,127820839,73,255212879,157555132,75,264639161,117809922,119,483280724
11903012941,141,26030273470,112096341,25,120346053,115098909,64,195583018,138550363,65,196990025,117228009,124,427795554
12510868171,149,27311024670,168504168,33,184463471,117986703,61,222769193,136961315,59,206549870,106617674,119,354577540
12404702496,153,27256147981,67706343,25,71951889,115554991,67,230350294,136035917,48,171567236,101310354,110,329978848
10717578340,131,23153168838,132660440,25,145421705,99514928,54,148595241,100472823,38,118644520,90400718,101,272283024
12449080983,142,26240126427,157206491,32,177773926,104957778,60,225352795,162414938,56,246294815,86011746,97,287917417
12544776223,150,26480862096,111553308,32,132388314,121659473,76,277061212,148662375,58,198907777,90020300,98,329618723
10160679121,129,22091986945,111771236,28,119004684,118042041,74,224866203,126622560,52,173809805,99830294,106,385516266
11716197635,136,26090256526,131943984,32,147588605,107113276,72,189790951,137354686,45,177218964,101671244,108,398848926
14301109759,169,34228920115,137013601,31,158679153,112326455,67,216416510,142174156,70,251136073,113969492,120,419836642
12019248049,147,25556013653,63014315,22,63113170,105747779,59,182514302,149623574,56,185509698,110645386,118,360367528
8703285018,110,16319559912,135829298,23,144437570,98512349,48,145729160,77584416,36,91832248,95324950,103,266823392
11773844482,141,25908532017,106861440,22,117460792,99817535,55,208332898,144006174,54,235365211,92997690,108,291206556
12088493440,142,26361973088,179552737,35,207969410,127507026,74,280845407,161520194,68,249665768,96060430,111,352775884
13488165997,157,30144011934,63535083,22,63575592,123302513,83,257391479,140793552,67,231932835,99383842,108,398099902
11479921743,138,22843903890,128470187,22,133077027,111769825,69,177886462,144965478,57,186001953,98764497,103,385725288
13472881286,158,29424868052,155998141,29,167553134,108747384,70,218205890,151663650,76,298204949,115711118,122,460080918
11815515666,141,24915632887,109429235,31,118390310,108544140,58,176137440,157538466,70,224356552,111209935,120,401324773
11539184544,142,25545979653,122234096,30,140316412,109238095,58,180979424,123232222,60,163554188,103839801,115,354967080
13866127453,160,31884328307,126095868,30,143956816,111811371,65,213142535,141372045,63,209356052,106838166,117,371018460
11707611313,144,26347812774,69846315,21,69846315,104449116,62,172203210,118292210,58,154302293,95573693,107,308900931
9464794376,111,18599933470,148796869,24,156800365,81283758,44,103979812,108680886,39,128392789,81441876,89,241226352
10511597561,127,22193484654,112738338,26,117897692,85325315,39,143636241,99757607,37,128367428,78492974,89,268150692
12247797917,151,29024632325,96827670,25,113595405,116197613,59,239044492,147690693,52,220864927,84996958,95,345291240
11808232802,137,27270172675,92784303,20,93659729,123303214,68,241463530,152003142,62,196107685,99534819,107,434099450
9902305582,119,20698728643,134724462,24,135974112,103623861,62,163309518,82736909,40,93870309,97843736,100,381240335
7808519637,98,15011928808,89342940,16,89342940,70027940,43,92887773,80684425,19,82560830,93207646,99,313978431
7457258968,93,15497283310,124571007,20,133033898,82187801,37,137914302,88698609,27,103884994,92127043,96,277878585
12278017213,152,31512091007,126503126,30,144857891,113052089,66,242958512,148790744,68,281240322,100028079,110,341340867
14524002214,165,36361510072,77877298,24,93599584,122322239,80,277486306,165465041,75,253545661,99594166,113,373926203
13293400068,152,28455241904,164429798,32,178746851,129348405,73,233755348,101609553,51,111711101,93899626,104,370105048
14387183626,172,30676793846,87384119,23,92214130,115974087,74,235545262,136887756,56,212846119,105448176,110,441436813
11543071185,141,23031133077,131366111,25,140138927,101937017,56,151907036,123427597,49,141705338,104745467,109,377400960
10283873099,132,22110062947,161868685,32,183276442,103066262,58,181088078,117555957,50,170299886,100788809,110,334140422
14133898929,171,33710359916,150253138,37,182415086,122261258,80,286855076,165803790,73,274248917,106437018,115,363337540
15103718883,174,33937241897,134367630,39,165025304,133339626,85,279417313,165982098,76,258453966,108734035,120,397164083
13951574264,167,29561812634,73212211,28,82597427,122702911,82,232098117,142259572,64,205776140,106037744,117,380647565
12568596477,157,25448590095,193900086,37,227934542,106695815,70,188169628,133446346,56,176880546,105639803,112,354658314
13282350567,161,28592432267,46514772,22,47363238,105104490,69,204922545,143502361,66,249333068,106262901,118,386011651
10897259445,136,23538450661,126994716,21,130039673,104382229,56,165831999,138738881,58,185892666,98615322,104,342789741
9844853310,121,21619056584,108088752,21,108752404,98792319,51,153791064,103147235,46,128086860,101724039,108,342086970
10116012077,121,22629237178,158690512,28,175896269,76269982,41,104729871,113109935,33,131206978,91733226,105,311694253
14446149985,181,37563628777,149129415,35,174529714,117561643,63,242705681,163592791,76,313959905,107266590,120,443053748
14904618249,172,33711316489,112063972,34,131433034,133563203,85,300200589,166278597,79,269450506,111652293,116,431905473
13824438850,159,28359453455,127473925,35,143901468,129135694,76,232693142,147558328,75,209643539,104114460,115,380252331
12910064287,162,27106353068,154459934,36,183919111,111634388,79,211588124,147762522,66,225303843,105796685,112,380839980
13378456688,166,30791891473,128188190,37,150326766,121333468,76,239751740,159496356,76,254738326,114932860,124,421063844
14000660543,162,32968837517,62273303,23,65766648,115746526,74,239067055,146262622,72,218535545,107195954,116,368008428
12510168283,149,27334025309,183364993,32,198414150,106595756,66,181783716,115987443,55,142376416,98980764,107,342019370
14870943647,180,35746341987,122325888,31,137706996,113743065,65,203045985,140923889,65,237360096,107747963,119,402217321
13110807277,154,29015424926,116464272,28,130076839,116301475,67,218447745,158329221,68,241108031,106305787,115,391587722
13356944409,161,28651179301,158012607,36,175413409,115650609,60,194102276,149698884,63,217737702,95597078,102,335044056
12746644547,159,27393679399,90204115,27,104323035,117944882,72,240010035,149962607,65,239421960,105792620,117,412767618
