embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
1651715416,18,5606874125,52273886,8,52273886,34812382,9,34812382,15890157,3,15890157,14000000,14,83028300
8478634897,97,22714945140,118160395,18,120273598,84608438,37,189903713,56019526,36,164332747,53582628,66,396656492
8614244628,98,19416230186,48269540,16,48269540,85342993,47,178717783,54084112,44,180348775,53582606,77,409857372
11585612328,182,38992965841,61903301,10,61903301,84638807,81,288274075,55470871,52,185346106,53582604,107,543107850
10890341642,189,35730402602,104800106,16,104800106,82310935,77,223341899,53009836,50,150314781,53582604,107,489525246
10495516011,152,26354426040,69261497,10,69261497,74159013,76,187635367,51834233,47,130106565,53582655,105,424778192
10747669782,142,25698135365,108808544,16,108808544,71740689,62,167009583,49692504,48,129398996,53329755,107,385057093
10952396625,161,28858902796,68671034,10,68671034,77610602,65,178632145,49007872,42,120748841,53334357,106,331727338
10346271834,167,28766052368,103628598,16,103628598,75778108,63,169678509,50202574,47,130216961,51068672,106,282890812
10209870060,156,27376238169,64988456,10,64988456,70089771,67,208527065,48558514,47,122776417,52405191,98,239664040
10538687142,152,27093049083,102338628,16,102338628,82228973,67,246471723,47535288,44,126225044,49536229,99,237707744
10372357570,130,22291100445,68468908,10,68468908,78819602,67,227181413,47326638,45,132399960,50612543,94,229692442
8591534992,109,16954152003,107939962,16,107939962,75692360,58,169274293,49435561,39,117638210,49491098,89,208571029
10937580213,162,31922043404,66385277,10,66385277,82652356,70,240086829,52319478,48,155165563,48087057,95,274245979
10518634295,136,23410249764,104207693,16,104207693,76121582,67,191218955,46708504,48,140786285,47059354,86,280440805
7547663311,96,13242120068,39703427,6,39703427,67712663,45,116930535,50047595,36,101458278,46547344,69,235439242
11265261177,172,36299451165,123579867,20,125610432,84576676,65,274275892,50176936,48,139809413,52372033,93,426800649
9977123367,147,25917606376,43033015,11,43033015,80762340,67,229160983,51426372,46,121609966,52605568,96,423946590
8335980941,101,16672557318,37662241,6,37662241,74436817,52,154249407,42464532,35,74115379,51768501,97,389945858
11219799712,136,28214992837,126136954,20,131982857,79822655,68,216647633,48406816,41,135181942,52542649,102,398641957
10397699655,125,21025582118,44864421,17,44864421,75529343,65,176698200,51287191,35,117179457,52989460,101,378930038
8286152213,106,16607430178,58158783,9,58158783,68498285,52,137566173,50324001,38,123246902,52854369,104,360040639
8007880271,99,15983679875,110309672,17,110386298,79089045,52,160757896,53601193,44,145891651,51615680,104,327762329
10963805643,177,37806980768,56399931,10,56399931,80807465,74,227298642,53481822,51,159836998,51587363,100,292627770
10741900740,155,29712893507,103006093,16,103006093,74151868,67,190770690,48225988,48,140533999,52177223,100,289681499
9997367598,123,19527418170,60425768,10,60425768,69592751,49,126356586,50412330,34,98585348,50769060,96,244284885
8424326624,104,16709998641,100553800,16,100553800,71270239,50,171353749,44065867,38,108178837,48896513,96,259308477
8322870163,103,18292128543,62464220,10,62464220,81922101,48,171181142,50801616,42,136212205,52033406,90,274396217
6645347033,84,14498226439,95812506,16,95812506,72712476,42,115129615,48084416,39,122123599,49190398,88,272928554
5724814421,69,10813717437,64205834,10,64205834,49500847,31,60338627,48264507,31,90003973,48461812,75,223738156
10977203469,168,37152703605,106909535,16,106909535,85796663,62,269618037,51870093,49,152228408,51058831,94,368895440
11136293674,147,30607796217,64674704,10,64674704,82708516,68,245907288,50681415,47,141633016,52159209,99,395533595
11077262332,141,26753867104,104408231,16,104408231,82977206,71,201965037,51430767,46,134007231,51967304,101,386863156
10484763881,149,26728536563,67649480,10,67649480,75949754,76,204615126,49731192,47,133337713,51798473,102,372699952
9099628167,109,16678611796,52553818,8,52553818,72914381,56,133660355,45147000,37,89046392,53216512,95,325891406
7778896348,98,15629339968,115918124,18,117291155,66185058,53,141075098,50692366,40,116670619,51492282,105,347483979
8778611103,104,18687184177,57676154,13,57676154,77518311,54,198723809,52208923,47,158169668,52961860,101,306027072
5973453640,74,11326777118,50994926,8,50994926,75017112,45,146843394,50281170,41,126626725,51798247,101,275667013
10723773886,130,27794343014,105975669,16,105975669,83355586,71,258455965,49248096,48,138344740,49675343,99,259470816
9405138911,110,21548424811,66516244,10,66516244,80721790,66,192934739,50068242,43,129114998,50634233,95,256856985
10051167637,120,21701626728,101327301,16,101327301,71217388,64,166751937,53319200,46,138509811,50349317,97,281945828
10198489498,137,24739729149,59237341,10,59237341,79229032,64,186935476,51035230,48,138217551,49986280,94,284477179
9921625947,121,20318138131,103343486,15,103343486,74009893,58,156669522,50381459,46,129414831,51572617,93,315495670
7145071498,90,13425097810,71594960,11,71594960,66253828,43,107811793,49074245,45,119369069,49790541,91,298488919
11167235498,171,36065458979,91885341,14,91885341,82114996,66,253454152,47393540,43,121104382,51448518,96,343048410
10657752921,165,32329557327,76520587,12,76520587,82816817,80,264522196,53243344,45,144539604,49584143,101,355107229
10359343657,134,23604065805,92160565,14,92160565,75312361,73,191611332,51398052,43,135312922,52636241,95,342066301
8399411864,104,16373849456,74031736,12,74031736,75188311,55,142289435,51526318,46,143701061,53270345,99,333380457
