embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
10785600557,311,82548172784,997257717,188,1205972395,704913021,144,704913021,654694515,143,654694515,218000000,218,1316489036
10572231093,312,76176977999,269104979,180,279043991,44229076,9,44229076,36575348,9,36575348,232000000,232,1180558119
10571461616,294,66911578968,25390466,10,25390466,74255051,15,74255051,85537969,19,85537969,233000000,233,956924253
10604266873,269,56821082198,152243138,23,152243138,44029097,10,44029097,36035526,10,36035526,233000000,233,723924253
10444047775,262,48811495997,289141674,45,289141674,206277904,51,206277904,202946411,43,202946411,202118940,232,490133034
10258341842,271,47634915943,613584157,96,613584157,288526236,59,288526236,325362101,73,325362101,156690195,181,301122399
10484077241,237,37419235557,28155125,5,28155125,19617488,4,19617488,9457520,2,9457520,102389087,134,162116588
10284519314,292,49023025136,997662472,191,1224326662,645746755,145,645746755,700865179,148,700865179,130045711,162,610206670
10138135590,291,46663153749,274441715,180,279412456,68289146,14,68289146,32779876,8,32779876,170407981,172,900384204
9930158561,249,37226916792,10286066,9,10286066,28604734,7,28604734,52690154,10,52690154,175262172,176,764844148
10002242255,255,41723401160,958640363,161,1049409930,600646168,136,600646168,483631549,119,483631549,223773054,225,894137414
9638322320,222,35050924862,171959900,109,171959900,29172074,5,29172074,42637948,9,42637948,215976306,228,698943892
9443191427,199,34896693318,207631805,32,207631805,187820019,43,187820019,225205166,48,225205166,186246568,210,504054797
10428228594,268,56500474287,939214295,152,985408458,434989662,105,434989662,401204417,94,401204417,156015850,179,458376171
10430977253,238,46050469280,72881676,77,72881676,23700367,5,23700367,7722366,2,7722366,118761344,135,315283081
10209313739,226,38196156932,79232480,12,79232480,75955182,16,75955182,18125262,5,18125262,83121804,99,231271872
9760730206,203,32619684599,262236981,39,262236981,119645178,24,119645178,69373565,17,69373565,69625264,79,219421118
10287745216,270,50765201064,875822974,136,883825742,484322492,105,484322492,446470109,102,446470109,182668975,192,940626967
9918306884,231,40440631233,34095377,30,34095377,17459391,3,17459391,6557732,1,6557732,168878326,171,761331366
10094186126,243,42642285613,658121074,98,658121074,382770828,86,382770828,379870315,80,379870315,207096675,210,848604433
10205907592,245,42574432861,384974352,60,384974352,194092895,43,194092895,166330634,36,166330634,208481649,216,725480676
10187158058,291,53624189615,873690902,140,891823410,525037968,112,525037968,483452042,115,483452042,199292835,219,641615229
10224323856,279,49873491895,316215352,85,316215352,136048765,29,136048765,99928805,23,99928805,178328086,195,535565855
10028683315,284,51772962176,695869597,108,695869597,540858494,116,540858494,492473107,114,492473107,176690702,199,584932968
10462481586,273,51265327482,526231442,82,526231442,151391746,33,151391746,136534417,29,136534417,166624210,191,637347552
10088934791,246,40802845896,17502437,3,17502437,12651773,4,12651773,12696028,3,12696028,140573173,149,501958072
9774382716,207,31900778356,52154357,8,52154357,74284724,16,74284724,14361431,3,14361431,126758931,142,403584239
9281322808,164,22610934143,33216917,5,33216917,17957530,5,17957530,23179706,7,23179706,104682055,119,295813899
10316525279,259,49972724367,973567935,166,1093395358,572500232,126,572500232,491480665,117,491480665,184749753,199,786653772
9732108895,231,41049816788,125814780,110,125814780,14749883,2,14749883,4673049,1,4673049,162784321,175,618368303
9643555741,186,33258981719,83004073,13,83004073,98529421,23,98529421,74674228,16,74674228,145248980,160,500798890
10345529165,281,56746753208,996896210,186,1200125979,563580922,129,563580922,569229008,125,569229008,207155140,214,828860270
10406559674,250,46283962905,227198293,166,230111370,12024195,2,12024195,9384877,2,9384877,177971151,196,621705130
10215526213,281,51431881500,219966548,35,219966548,444194733,105,444194733,508166957,109,508166957,183553808,195,649098589
10219363239,249,43105783187,127812672,19,127812672,45662374,8,45662374,37848171,8,37848171,158953844,179,506125779
10211605980,244,42364115670,531892927,80,531892927,281121418,62,281121418,245559008,60,245559008,160873263,180,565685900
10224768049,282,51408014403,728553129,110,728553129,387009594,85,387009594,406503252,83,406503252,192138881,203,760661271
10474295144,291,55070537509,589127795,90,589127795,304211534,69,304211534,282023563,61,282023563,206085964,223,833510267
10142046844,292,51390745561,560487553,88,560487553,342219985,78,342219985,331985049,73,331985049,191307286,209,735245620
10369617894,288,51156681014,721787797,111,721787797,355229549,76,355229549,299775201,66,299775201,202672729,211,751889427
10116824482,267,42820471421,111922981,18,111922981,41290826,9,41290826,64660434,12,64660434,183545147,199,583553125
9915080604,233,35951490761,188836598,30,188836598,112474036,24,112474036,125306404,26,125306404,155044072,172,445841893
9845048059,265,45203845364,839794238,130,841668769,461584475,101,461584475,435995875,96,435995875,171374796,191,611371921
10206224539,229,40857662107,225834076,47,225834076,104115924,25,104115924,60314389,15,60314389,141220117,163,510009430
10381092185,295,55586878216,947275912,153,1008981721,550283565,124,550283565,592171708,127,592171708,189114649,200,830120077
10115378067,266,46168635926,116457244,90,116457244,15215967,4,15215967,2091001,1,2091001,171914254,180,666616088
9911491111,229,37315784037,5706301,1,5706301,54906997,10,54906997,52226500,11,52226500,156861889,171,524706278
9590722422,195,29611613945,63451789,10,63451789,52848239,12,52848239,63386896,13,63386896,138016316,149,390258162
10073969447,181,29830697302,264635280,41,264635280,164096413,34,164096413,138001504,33,138001504,134217088,153,401395680
10042425180,231,40797891961,645344185,96,645344185,315377272,72,315377272,316420653,73,316420653,147418925,168,569859094
10134267685,230,41153879921,198795739,31,198795739,158440079,33,158440079,170262271,34,170262271,150373795,159,620764135
10298550088,280,50914750697,914479472,144,940166610,448881645,97,448881645,444492874,98,444492874,199586686,215,927070758
9883264537,262,44407964279,127013919,68,127013919,58556690,12,58556690,30456453,6,30456453,193182966,197,783486264
9739615447,258,44139915042,317462237,49,317462237,220514308,51,220514308,248891409,57,248891409,196343719,206,689934207
9895303993,225,40323061294,395843261,60,395843261,108193806,23,108193806,143203698,34,143203698,190794834,201,563310235
10286356271,264,48056616701,690156850,105,690156850,397891907,91,397891907,376828501,84,376828501,179518889,202,555292212
10259701231,274,49267642796,457256890,70,457256890,184905568,42,184905568,193846953,46,193846953,166245759,191,552129760
10038442769,254,42630396075,183912451,29,183912451,82717079,19,82717079,111571068,23,111571068,124820231,147,418765476
9928621737,243,40220760800,470090864,72,470090864,237098686,53,237098686,231353547,48,231353547,139467878,150,551340949
9914366002,218,36207791729,282507193,44,282507193,162779036,35,162779036,156771675,36,156771675,145909774,155,572474678
9863013051,209,34903336473,380122393,57,380122393,170450941,33,170450941,172489137,40,172489137,158375026,168,592752437
10146953138,263,50164494630,733011125,114,733011125,438280095,96,438280095,349841724,77,349841724,199726324,209,789776536
10327902997,253,47860500005,199658488,30,199658488,101089235,24,101089235,126780555,31,126780555,187612213,204,680002516
10220481747,301,55798386043,944620856,155,1004487822,490899543,114,490899543,457170064,106,457170064,190510416,202,677920492
10137883613,269,46518067827,177656314,93,177656314,58732694,13,58732694,38143325,8,38143325,174306119,191,536860376
10135145942,284,49588357365,604196852,93,604196852,447793334,111,447793334,512356763,116,512356763,179311779,203,613428404
10355081819,289,51717637336,601686267,94,601686267,169535472,37,169535472,151404944,32,151404944,181151705,194,644508051
10305110548,259,42246987243,52941477,8,52941477,86195622,19,86195622,76823154,19,76823154,154316138,174,504071665
9914493579,243,37487750433,294210889,44,294210889,139776663,34,139776663,146754371,36,146754371,136984562,154,432096978
10384285538,283,51990432549,963142725,155,1040556826,510749901,114,510749901,502679097,109,502679097,200132620,213,840503825
10227247428,295,53612296377,369008791,137,373636776,184023395,41,184023395,134592941,33,134592941,204099077,217,825428987
10214498838,298,52138035296,410604140,75,410604140,443769461,103,443769461,524493462,113,524493462,199259282,215,774705852
10099023944,273,45863396744,335291303,51,335291303,117185103,24,117185103,69515946,14,69515946,191616406,201,665888124
9744995406,267,45876769182,520531191,79,520531191,305749679,67,305749679,300918126,64,300918126,182333478,198,573977992
10066882227,227,39023632408,188094875,30,188094875,125419034,25,125419034,102287607,19,102287607,162104571,177,456836479
10358456277,292,56862918100,965095089,163,1063336912,558149273,125,558149273,596614181,129,596614181,176935595,204,638588856
10438600297,304,57588033358,332079546,141,336663095,108055327,31,108055327,112521897,26,112521897,171948967,190,712585695
