round,embb_req,embb_giv,embb_user,embb_true,urllc_req,urllc_giv,urllc_user,urllc_true,miot_req,miot_giv,miot_user,miot_true,mmtc_req,mmtc_giv,mmtc_user,mmtc_true,voice_req,voice_giv,voice_user,voice_true,band_rem
0,0,0,78,0,0,0,70,0,0,0,36,0,0,0,49,0,0,0,44,0,20000000000
1,30430335704,7582746265,80,18681427593,272022453,272022453,73,272022453,163725699,163725699,42,163725699,244966402,244966402,50,244966402,265362482,44000000,46,195132888,11692539181
2,23352644918,6690681473,74,19349400057,13276849,13276849,32,13276849,24797817,24797817,21,24797817,7242244,7242244,19,7242244,234675281,46000000,46,227932470,13218001617
3,18061487005,5731075885,129,18059737506,123470820,123470820,95,123470820,66430352,66430352,47,66430352,84617441,84617441,65,84617441,188675281,46000000,80,184409004,13948405502
4,38764439780,8211207422,179,18571999052,282002068,279260928,134,279990151,163262413,163262413,79,163262413,207960005,207960005,106,207960005,357005892,80000000,112,209070894,11058309232
5,53030944168,11126152919,177,18401696529,297564311,297490501,118,297521336,267061183,267061183,75,267061183,241953602,241953602,95,241953602,468118846,105516162,115,428647995,7961825633
6,46947570073,10868193728,171,18852972243,162862901,162862901,81,162862901,110199313,110199313,58,110199313,151424398,151424398,69,151424398,398823247,102187326,112,396911124,8605132334
7,41542253493,10065564871,167,18856438745,162093973,162093973,79,162093973,172032498,172032498,56,172032498,135885617,135885617,61,135885617,330155636,97950972,109,209139838,9366472069
8,39039084774,9526745831,167,19022604690,171040607,171040607,92,171040607,93023487,93023487,61,93023487,144646356,144646356,73,144646356,261792477,86287356,111,217674617,9978256363
9,39130485486,9165193857,180,18789160031,219070130,218131100,127,219012609,224326999,224326999,84,224326999,161151440,161151440,90,161151440,278717248,86160608,107,216540490,10145035996
10,42505474069,10020347066,180,18726923711,287994060,287994060,111,287994060,195139341,195139341,79,195139341,215060446,215060446,82,215060446,272880995,87713986,107,204548423,9193745101
11,38110498552,9501691801,176,18732488491,271963544,265138050,124,268236970,210504156,210504156,85,210504156,178847145,178847145,91,178847145,270504308,80131971,112,201876587,9763686877
